IrgName	Species	chr	start_NCBI	start	end	forward_reverse	gene_name	protein_name	found_by	rankSpecies
Irgm1	M.pahari	Chr14	17152512	17152512	17158722	R	LOC110332389	XP_021069255.1	orthoFinder	2
IrgbTandem	M.pahari	Chr14	17171967	17171967	17244115	R	LOC110331209	XP_029401609.1	orthoFinder	2
Irgd	M.pahari	Chr14	17378755	17378755	17391275	F	LOC110332581	XP_021069514.1	orthoFinder	2
Irgb6-OG1	M.pahari	Chr14	17631559	17631559	17636324	F	LOC110332583	XP_021069515.1	orthoFinder	2
Irgc	M.pahari	Chr19	19947350	19947350	19950924	R	Irgc	XP_029388176.1	orthoFinder	2
Irgq	M.pahari	Chr19	20049917	20049917	20056122	F	Irgq	XP_021074878.1	orthoFinder	2
Irgb10	M.pahari	Chr14	26083452	26083452	26088269	F	LOC110332728	XP_021069726.1	orthoFinder	2
Irgm3	M.pahari	Chr14	26097640	26097640	26105909	F	LOC110332193	XP_021068938.1	orthoFinder	2
Irgm2	M.pahari	Chr14	26113346	26113346	26120212	F	LOC110332777	XP_029401463.1	orthoFinder	2
Irgm1	R.norvegicus	Chr10	34213885	34213885	34221968	R	Irgm	XP_006246241.1	orthoFinder	3
IrgbTandem	R.norvegicus	Chr10	34232571	34232571	34256396	R	RGD1559575	XP_220362.3	orthoFinder	3
Irgd	R.norvegicus	Chr10	34277993	34277993	34285623	F	Ifi47	NP_742016.2	orthoFinder	3
Irgb10	R.norvegicus	Chr10	43616557	43616557	43621238	F	LOC102555634	XP_006246477.2	orthoFinder	3
Irgm3	R.norvegicus	Chr10	43631089	43631089	43639044	F	Igtp	NP_001008765.1	orthoFinder	3
Irgm2	R.norvegicus	Chr10	43645508	43645508	43655657	F	Irgm2	XP_038943144.1	orthoFinder	3
Irga2-6	R.norvegicus	Chr18	55483059	55483059	55508714	F	RGD1309362	NP_001020055.1	orthoFinder	3
Irga2-6	R.norvegicus	Chr18	55576239	55576239	55584959	F	MGC108823	NP_001012353.1	orthoFinder	3
Irga4	R.norvegicus	Chr18	55634615	55634615	55669634	F	RGD1305184	XP_225905.4	orthoFinder	3
Irgc	R.norvegicus	Chr1	81291739	81291739	81295517	R	Irgc	NP_001014038.1	orthoFinder	3
Irgq	R.norvegicus	Chr1	81395922	81395922	81403872	F	Irgq	NP_001129214.2	orthoFinder	3
Irgm1	R.rattus	Chr9	31465283	31465283	31473881	R	LOC116909877	XP_032769505.1	orthoFinder	4
IrgbTandem	R.rattus	Chr9	31491106	31491106	31515839	R	LOC116909389	XP_032768840.1	orthoFinder	4
Irgd	R.rattus	Chr9	31534102	31534102	31547492	F	LOC116910010	XP_032769687.1	orthoFinder	4
Irgm2	R.rattus	Chr9	40018254	40018254	40021498	R	LOC116909404	XP_032768860.1	orthoFinder	4
Irgm3	R.rattus	Chr9	40035736	40035736	40037238	R	LOC116909403	XP_032768859.1	orthoFinder	4
Irgb10	R.rattus	Chr9	40053341	40053341	40058018	R	LOC116909026	XP_032768396.1	orthoFinder	4
Irga4	R.rattus	Chr15	71551993	71551993	71553669	R	LOC116884637	XP_032741668.1	orthoFinder	4
Irga2-6	R.rattus	Chr15	71580446	71580446	71581937	R	LOC116884803	XP_032741928.1	orthoFinder	4
Irga2-6	R.rattus	Chr15	71596764	71596764	71607557	R	LOC116884764	XP_032741871.1	orthoFinder	4
Irgq	R.rattus	Chr2	170178103	170178103	170182490	R	Irgq	XP_032750106.1	orthoFinder	4
Irgc	R.rattus	Chr2	170281785	170281785	170285487	F	Irgc	XP_032752091.1	orthoFinder	4
Irgc	M.ochrogaster	LG4	19469635	19469635	19473218	R	Irgc	XP_005361162.1	orthoFinder	5
Irgq	M.ochrogaster	LG4	19570210	19570210	19575086	F	Irgq	XP_005361166.1	orthoFinder	5
Irgm2	M.ochrogaster	Chr7	40550376	40550376	40557907	R	LOC101994081	XP_005350075.1	orthoFinder	5
Irgm3	M.ochrogaster	Chr7	40568623	40568623	40574268	R	LOC101994370	XP_005350076.1	orthoFinder	5
Irgb10	M.ochrogaster	Chr7	40589703	40589703	40596322	R	LOC101994657	XP_005350077.1	orthoFinder	5
Irga2-6	M.ochrogaster	Chr18	46076349	46076349	46085200	F	LOC101992774	XP_005356193.1	orthoFinder	5
Irga2-6	M.ochrogaster	Chr18	46093399	46093399	46098342	F	LOC101993055	XP_005356194.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46124588	46124588	46125829	F	LOC101993333	XP_005356195.1	orthoFinder	5
Irga3	M.ochrogaster	Chr18	46133291	46133291	46139424	F	LOC101993629	XP_005356197.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46145460	46145460	46151313	F	LOC101994109	XP_005356198.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46157884	46157884	46163899	F	LOC101993537	XP_005356443.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46177023	46177023	46188332	F	LOC101994395	XP_005356199.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46215857	46215857	46217333	R	LOC101994975	XP_005356201.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46259692	46259692	46261068	R	LOC101995265	XP_005356202.1	orthoFinder	5
Irga4	M.ochrogaster	Chr18	46283687	46283687	46285054	R	LOC101993820	XP_005356444.1	orthoFinder	5
Irgb6-OG1	M.ochrogaster	Chr7	49669933	49669933	49671177	F	LOC101989739	XP_005350245.1	orthoFinder	5
IrgbTandem	M.ochrogaster	Chr7	49697918	49697918	49708825	R	LOC101989451	XP_005350244.1	orthoFinder	5
Irgb6-OG1	M.ochrogaster	Chr7	49721897	49721897	49733110	R	LOC101994766	XP_013202525.1	orthoFinder	5
Irgd	M.ochrogaster	Chr7	49740917	49740917	49745290	R	LOC101989165	XP_013202871.1	orthoFinder	5
Irgb6-OG2	M.ochrogaster	Chr7	49750215	49750215	49763894	F	LOC101988890	XP_005350243.1	tblastn	5
IrgbTandem	M.ochrogaster	Chr7	49767550	49767550	49779026	F	LOC101990019	XP_026635962.1	orthoFinder	5
Irgm1	M.ochrogaster	Chr7	49784227	49784227	49799026	F	LOC101990314	XP_005350249.1	orthoFinder	5
Irgm2	A.amphibius	Chr4	62788926	62788926	62798728	R	LOC119811862	XP_038181934.1	orthoFinder	6
Irgm2	A.amphibius	Chr4	62798428	62798428	62813222	R	LOC119811859	XP_038181930.1	orthoFinder	6
Irgm2	A.amphibius	Chr4	62830665	62830665	62835726	R	LOC119811861	XP_038181933.1	orthoFinder	6
Irgm3	A.amphibius	Chr4	62846587	62846587	62854621	R	LOC119811860	XP_038181931.1	orthoFinder	6
Irgb10	A.amphibius	Chr4	62868918	62868918	62875864	R	LOC119812524	XP_038183179.1	orthoFinder	6
Irgb6-OG1	A.amphibius	Chr4	71623862	71623862	71630787	F	LOC119812842	XP_038183750.1	orthoFinder	6
IrgbTandem	A.amphibius	Chr4	71650573	71650573	71663413	R	LOC119812838	XP_038183745.1	orthoFinder	6
IrgbTandem	A.amphibius	Chr4	71675083	71675083	71697845	R	LOC119811504	XP_038181359.1	orthoFinder	6
Irgd	A.amphibius	Chr4	71708275	71708275	71723512	R	LOC119812841	XP_038183749.1	orthoFinder	6
Irgb6-OG2	A.amphibius	Chr4	71623919	71730000	71737544	F	LOC119812843	XP_038183755.1	tblastn	6
IrgbTandem	A.amphibius	Chr4	71742114	71742114	71752782	F	LOC119812839	XP_038183746.1	orthoFinder	6
Irgm1	A.amphibius	Chr4	71765779	71765779	71772739	F	LOC119812844	XP_038183759.1	orthoFinder	6
Irgc	A.amphibius	Chr8	74452811	74452811	74454202	R	Irgc	XP_038196719.1	orthoFinder	6
Irgq	A.amphibius	Chr8	74549117	74549117	74553398	F	Irgq	XP_038196250.1	orthoFinder	6
Irga2-6	A.amphibius	Chr5	134782852	134782852	134792305	F	LOC119814409	XP_038186027.1	orthoFinder	6
Irga2-6	A.amphibius	Chr5	134807075	134807075	134823084	F	LOC119814650	XP_038186505.1	orthoFinder	6
Irga3	A.amphibius	Chr5	134826673	134826673	134848685	F	LOC119814649	XP_038186504.1	orthoFinder	6
Irga4	A.amphibius	Chr5	134858423	134858423	134865030	F	LOC119814513	XP_038186250.1	orthoFinder	6
Irga4	A.amphibius	Chr5	134880602	134880602	134892022	F	LOC119814171	XP_038185511.1	orthoFinder	6
Irga4	A.amphibius	Chr5	134915920	134915920	134922203	R	LOC119815629	XP_038187786.1	orthoFinder	6
Irga4	A.amphibius	Chr5	134938209	134938209	134947663	F	LOC119814468	XP_038186150.1	orthoFinder	6
Irga4	A.amphibius	Chr5	134954251	134954251	134962354	R	LOC119815416	XP_038187469.1	orthoFinder	6
Irgb6-OG1	M.glareolus	LR761981.1	360002	360002	389543	F	NA	NA	orthoFinder	7
Irgb6-tbn	M.glareolus	LR761981.1	388299	388299	389540	F	NA	NA	tblastn	7
IrgbTandem	M.glareolus	LR761981.1	399086	399086	399885	R	NA	NA	orthoFinder	7
Irgb6-OG1	M.glareolus	LR761981.1	404709	404709	405952	R	NA	NA	orthoFinder	7
Irgb6-OG1	M.glareolus	LR761981.1	428471	428471	429714	R	NA	NA	orthoFinder	7
Irgd	M.glareolus	LR761981.1	452517	452517	453778	F	NA	NA	orthoFinder	7
Irgb6-OG2	M.glareolus	LR761981.1	476394	476394	477635	F	NA	NA	tblastn	7
Irgm1	M.glareolus	LR761981.1	514295	514295	515484	F	NA	NA	orthoFinder	7
Irgq	M.glareolus	LR761995.1	1408599	1408599	1411504	R	NA	NA	orthoFinder	7
Irgc	M.glareolus	LR761995.1	1506988	1506988	1508354	F	NA	NA	orthoFinder	7
Irgb10	M.glareolus	LR761979.1	6847908	6847908	6849196	F	NA	NA	orthoFinder	7
Irgm3	M.glareolus	LR761979.1	6880285	6880285	6881594	F	NA	NA	orthoFinder	7
Irgm2	M.glareolus	LR761979.1	6897942	6897942	6899101	F	NA	NA	orthoFinder	7
Irga2-6	M.glareolus	LR761921.1	21849150	21849150	21850388	F	NA	NA	tblastn	7
Irga3	M.glareolus	LR761921.1	21880821	21880821	21882041	F	NA	NA	tblastn	7
Irga4	M.glareolus	LR761921.1	21892219	21892219	21918472	F	NA	NA	orthoFinder	7
Irga4	M.glareolus	LR761921.1	21935829	21935829	21937049	R	NA	NA	tblastn	7
Irga3	M.glareolus	LR761921.1	22002671	22002671	22003962	F	NA	NA	orthoFinder	7
Irga3	M.glareolus	LR761921.1	22019199	22019199	22020104	F	NA	NA	tblastn	7
Irga4	M.glareolus	LR761921.1	22098716	22098716	22100022	R	NA	NA	orthoFinder	7
Irga4	M.glareolus	LR761921.1	22169156	22169156	22167865	R	NA	NA	orthoFinder	7
Irga2-6	P.leucopus	NW_023504528.1	795	795	13699	R	LOC114688415	XP_028718833.1	orthoFinder	8
Irgm2	P.leucopus	NW_023504290.1	7466	7466	11616	R	LOC114686462	XP_037057590.1	orthoFinder	8
Irga2-6	P.leucopus	NW_023504529.1	13003	13003	22882	F	LOC114688409	XP_037057668.1	orthoFinder	8
Irga2-6	P.leucopus	NW_023504528.1	33239	33239	38773	R	LOC114688413	XP_028718828.1	orthoFinder	8
Irgm1	P.leucopus	Chr8b	31985442	31985442	31991631	R	LOC114706392	XP_037056780.1	orthoFinder	8
IrgbTandem	P.leucopus	Chr8b	32012884	32012884	32025750	R	LOC114706397	XP_028744619.1	orthoFinder	8
Irgb6-OG1	P.leucopus	Chr8b	32034183	32034183	32043054	R	LOC114706384	XP_037056990.1	orthoFinder	8
IrgbTandem	P.leucopus	Chr8b	32055289	32055289	32068213	R	LOC114706394	XP_028744617.1	orthoFinder	8
IrgbTandem	P.leucopus	Chr8b	32078514	32078514	32114981	R	LOC114706382	XP_028744600.1	orthoFinder	8
Irgb6-OG1	P.leucopus	Chr8b	32124029	32124029	32129932	R	LOC114706381	XP_028744596.1	orthoFinder	8
Irgd	P.leucopus	Chr8b	32146779	32146779	32153476	F	LOC114706400	XP_028744624.1	orthoFinder	8
Irgb10	P.leucopus	Chr8b	40758791	40758791	40765202	F	LOC114688611	XP_028719011.1	orthoFinder	8
Irga3	P.leucopus	Chr19	47575762	47575762	47583493	R	LOC114709737	XP_028749539.1	orthoFinder	8
Irga4	P.leucopus	Chr19	47679731	47679731	47683520	R	LOC114688407	XP_028718826.1	orthoFinder	8
Irga4	P.leucopus	Chr19	47738447	47738447	47740973	R	LOC114707400	XP_028745955.1	orthoFinder	8
Irgq	P.leucopus	Chr1	171610104	171610104	171615222	R	Irgq	XP_028749676.1	orthoFinder	8
Irgc	P.leucopus	Chr1	171717600	171717600	171721573	F	Irgc	XP_037057457.1	orthoFinder	8
Irga2-6	M.auratus	NW_004802954.1	6294	6294	17070	F	LOC101838193	XP_005088064.1	orthoFinder	9
Irgm1	M.auratus	NW_004803429.1	10640	10640	11132	F	LOC101839900	XP_005088136.3	orthoFinder	9
Irgc	M.auratus	NW_004801821.1	1528372	1528372	1529895	R	Irgc	XP_021078846.1	orthoFinder	9
Irgq	M.auratus	NW_004801821.1	1641100	1641100	1644969	F	Irgq	XP_005086389.1	orthoFinder	9
Irgd	M.auratus	NW_004801634.1	2761525	2761525	2782726	R	LOC101836886	XP_012970178.1	orthoFinder	9
Irgb6-OG1	M.auratus	NW_004801634.1	2818275	2818275	2823222	F	LOC106021278	XP_021083921.1	orthoFinder	9
Irga4	M.auratus	NW_004801652.1	13272763	13272763	13278695	R	LOC101844395	XP_005074760.1	orthoFinder	9
Irga4	M.auratus	NW_004801652.1	13323244	13323244	13334244	F	LOC101833162	XP_005074787.1	orthoFinder	9
Irga4	M.auratus	NW_004801652.1	13379311	13379311	13386755	R	LOC101833418	XP_012972219.1	orthoFinder	9
Irga4	M.auratus	NW_004801652.1	13399647	13399647	13401143	R	LOC101833938	XP_005074789.1	orthoFinder	9
Irga4	M.auratus	NW_004801652.1	13489781	13489781	13499105	R	LOC101834191	XP_021085530.1	orthoFinder	9
Irga3	M.auratus	NW_004801652.1	13619359	13619359	13632358	F	LOC101834989	XP_005074791.1	orthoFinder	9
Irgm2	M.auratus	NW_004801614.1	18797368	18797368	18821777	R	LOC101837226	XP_012967210.1	orthoFinder	9
Irgm3	M.auratus	NW_004801614.1	18797368	18797368	18821777	R	LOC101837226	XP_012967213.1	orthoFinder	9
Irgb10	M.auratus	NW_004801614.1	18837833	18837833	18852029	R	LOC101837503	XP_005067949.1	orthoFinder	9
